,Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,ScreenSize,StorageCapacity
0,Apple,Ultrabook,8,1.37,11.175754549129524,0,1,226.98300468106115,Intel Core i5,0,128,Intel,Mac,310.9667164130538,128
1,Apple,Ultrabook,8,1.34,10.77677731765335,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac,171.08843977834982,0
2,HP,Notebook,8,1.86,10.329931067029484,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others,262.65431643288946,256
3,Apple,Ultrabook,16,1.83,11.814475944954545,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac,403.57836167525267,512
4,Apple,Ultrabook,8,1.37,11.473100972779063,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac,310.9667164130538,256
5,Acer,Notebook,4,2.1,9.967025573340116,0,0,100.45466986113652,AMD Processor,500,0,AMD,Windows,210.9548067083867,500
6,Apple,Ultrabook,16,2.04,11.64410811545818,0,1,220.53462386625827,Intel Core i7,0,0,Intel,Mac,449.8906326871669,0
7,Apple,Ultrabook,8,1.34,11.03061499223515,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac,171.08843977834982,0
8,Asus,Ultrabook,16,1.3,11.28544251205692,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,Windows,204.55566579335627,512
9,Acer,Ultrabook,8,1.6,10.621951541079865,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows,251.76081943797695,256
10,HP,Notebook,4,1.86,9.951658096208996,0,0,100.45466986113652,Intel Core i5,500,0,Intel,Others,186.84568594171395,500
11,HP,Notebook,4,1.86,9.81907645733616,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others,262.65431643288946,500
12,Apple,Ultrabook,16,1.83,11.775302049361828,0,1,220.53462386625827,Intel Core i7,0,256,AMD,Mac,403.57836167525267,256
13,Dell,Notebook,4,2.2,10.187966701099125,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Windows,310.666395780837,256
14,Apple,Ultrabook,8,0.92,11.116330976323743,0,1,226.4155471693585,Other Intel Processor,0,256,Intel,Mac,208.30230339580982,256
15,Apple,Ultrabook,8,1.37,11.301072237406668,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac,310.9667164130538,256
16,Dell,Notebook,8,2.2,10.588945244611692,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows,310.666395780837,256
17,Apple,Ultrabook,16,1.83,11.933438384721946,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac,403.57836167525267,512
18,Lenovo,Notebook,8,2.2,10.188167121983652,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Others,310.666395780837,1000
19,Dell,Ultrabook,8,1.22,10.862092668762644,1,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows,202.07118402258675,128
20,Asus,Netbook,2,0.98,9.232535429245788,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows,132.39232696871164,0
21,Lenovo,Gaming,8,2.5,10.882315804880689,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows,353.02999520549656,1128
22,HP,Notebook,4,1.86,9.528520611153752,0,0,100.45466986113652,AMD Processor,500,0,AMD,Others,186.84568594171395,500
23,Dell,2 in 1 Convertible,8,1.62,10.683645110085203,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows,268.324031243107,256
24,HP,Ultrabook,8,1.91,10.46628456073464,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows,269.71491633699935,256
25,Dell,Notebook,4,2.3,10.012572388296086,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows,231.045740680614,1000
26,Apple,Ultrabook,8,1.35,10.977716980635757,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac,172.3652191796808,0
27,Dell,Notebook,8,2.2,10.660172753900062,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows,310.666395780837,256
28,Dell,Ultrabook,8,1.88,11.144140923496169,0,0,141.21199808219862,Intel Core i7,0,512,Intel,Windows,265.47855639453337,512
29,HP,Notebook,8,2.5,10.773501439207063,0,0,127.33567457123112,Intel Core i5,1000,0,Nvidia,Windows,318.3391864280778,1000
30,Chuwi,Notebook,4,1.89,9.476778419617322,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows,266.8906763753554,0
31,Asus,Notebook,2,1.65,9.268865850956626,0,0,111.93520355955212,AMD Processor,0,0,AMD,Windows,184.693085873261,0
32,HP,Notebook,4,2.71,10.060060439307303,0,0,127.33567457123112,AMD Processor,500,0,AMD,Windows,345.07967808803636,500
33,Dell,Ultrabook,16,1.2,11.508719833687696,1,0,276.053530085501,Intel Core i7,0,512,Intel,Windows,331.26423610260116,512
34,Apple,Ultrabook,8,1.35,10.881314302543595,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac,172.3652191796808,0
35,Lenovo,Notebook,4,1.44,9.49301392269684,0,0,111.93520355955212,Other Intel Processor,0,0,Intel,Windows,161.18669312575506,0
